Model,Accuracy,F1 Score,hamming_loss_score
AdaBoostClassifier,0.05918925944217722,0.038789274963126494,0.9408107405578228
BaggingClassifier,0.9812110420836474,0.981009043577244,0.01878895791635258
BernoulliNB,0.3630362480829716,0.3455604035237876,0.6369637519170284
CalibratedClassifierCV,0.4829455303995217,0.4508367557073904,0.5170544696004783
DecisionTreeClassifier,0.9777436250682332,0.9784867825997161,0.022256374931766788
DummyClassifier,0.020804437108471317,0.0008596723754101066,0.9791955628915288
ExtraTreeClassifier,0.4878660549504822,0.48892264828153886,0.5121339450495178
ExtraTreesClassifier,0.8840409009383692,0.882481954425711,0.11595909906163085
GaussianNB,0.08112402848899171,0.048773296885769035,0.9188759715110082
KNeighborsClassifier,0.19337117569078005,0.20021559905902722,0.8066288243092199
LGBMClassifier,0.1540243949988303,0.13784573533603964,0.8459756050011696
LabelPropagation,0.17853350575758364,0.18446777217826812,0.8214664942424165
LabelSpreading,0.17869479608016428,0.18464919964401397,0.8213052039198357
LinearDiscriminantAnalysis,0.4740737828494191,0.45738126224001874,0.525926217150581
LinearSVC,0.5028628707337994,0.46716600452707907,0.4971371292662005
LogisticRegression,0.5592288996906761,0.5470616040920919,0.4407711003093239
NearestCentroid,0.30320189233448575,0.30053529766065407,0.6967981076655143
PassiveAggressiveClassifier,0.3565826206753139,0.3550199956438954,0.6434173793246861
Perceptron,0.35319740843752434,0.3513987138585186,0.6468025915624757
QuadraticDiscriminantAnalysis,0.2896727405058356,0.2761954822396146,0.7103272594941644
RandomForestClassifier,0.8520284110108912,0.8455528838682479,0.14797158898910867
RidgeClassifier,0.2636066127732578,0.20790799609927854,0.7363933872267422
RidgeClassifierCV,0.26400977359569544,0.20852570666915513,0.7359902264043046
SGDClassifier,0.44238341867900494,0.44136680222001834,0.557616581320995
SVC,0.4596402484988693,0.4500746793323974,0.5403597515011308
XGBClassifier,0.9846785890670896,0.9841634031706888,0.015321410932910503
