Model,Accuracy,F1 Score,hamming_loss_score
AdaBoostClassifier,0.0761225988406852,0.024764764798533116,0.9238774011593149
BaggingClassifier,0.6706687504873801,0.6703029242694427,0.3293312495126199
BernoulliNB,0.76171161394297,0.7642928153021338,0.23828838605703
CalibratedClassifierCV,0.9515360271373241,0.9509597907202864,0.04846397286267578
DecisionTreeClassifier,0.4902822905565231,0.4926947140399724,0.5097177094434768
DummyClassifier,0.020804437108471317,0.0008596723754101066,0.9791955628915288
ExtraTreeClassifier,0.3461018689402407,0.34715282913596635,0.6538981310597592
ExtraTreesClassifier,0.8022724259832081,0.8025457516755825,0.19772757401679186
GaussianNB,0.8207389332224272,0.8223012480031595,0.17926106677757273
KNeighborsClassifier,0.6238990408359544,0.6402132856394747,0.3761009591640456
LGBMClassifier,0.17265128278443503,0.1639777686728895,0.8273487172155649
LabelPropagation,0.05636615892490447,0.05231869635211227,0.9436338410750956
LabelSpreading,0.05636615892490447,0.05231869635211227,0.9436338410750956
LinearDiscriminantAnalysis,0.9438748017987575,0.9437418662737302,0.056125198201242496
LinearSVC,0.9489555769280758,0.9492684170284807,0.051044423071924305
LogisticRegression,0.9518577629903044,0.9515910407593134,0.04814223700969562
NearestCentroid,0.7992088196303709,0.8119750862960213,0.2007911803696291
PassiveAggressiveClassifier,0.9341178420108653,0.9357018287790672,0.06588215798913467
Perceptron,0.9207320449169505,0.9229605058620383,0.07926795508304957
QuadraticDiscriminantAnalysis,0.8300312067675796,0.8319022819513711,0.1699687932324204
RandomForestClassifier,0.8118680304645057,0.8114749659090968,0.18813196953549427
RidgeClassifier,0.9291986171401835,0.9275388930395563,0.07080138285981649
RidgeClassifierCV,0.9290373268176028,0.92734964643999,0.07096267318239713
SGDClassifier,0.9274243586077825,0.9277988904623692,0.07257564139221752
SVC,0.9334719009123755,0.9333760285282369,0.06652809908762444
XGBClassifier,0.8687994203425957,0.8683555262794368,0.13120057965740428
