Model,Accuracy,F1 Score,hamming_loss_score
AdaBoostClassifier,0.17578643653661202,0.13775338678240107,0.824213563463388
BaggingClassifier,0.7304222011385199,0.7316221591624738,0.2695777988614801
BernoulliNB,0.8137233890462946,0.8157190665769418,0.18627661095370537
CalibratedClassifierCV,0.9621799537313821,0.9614452970786826,0.037820046268617916
DecisionTreeClassifier,0.5439056042213616,0.5449636323458028,0.4560943957786384
DummyClassifier,0.020804437108471317,0.0008596723754101066,0.9791955628915288
ExtraTreeClassifier,0.42520820878064003,0.4266029665493772,0.57479179121936
ExtraTreesClassifier,0.8519459462972108,0.851673659628555,0.1480540537027891
GaussianNB,0.8546871669569287,0.8552070470333628,0.14531283304307138
KNeighborsClassifier,0.7361484624782303,0.7503379769950375,0.26385153752176965
LGBMClassifier,0.2272360349354059,0.2178633862196723,0.7727639650645941
LabelPropagation,0.05846280315042499,0.05620626359977019,0.9415371968495749
LabelSpreading,0.05846280315042499,0.05620626359977019,0.9415371968495749
LinearDiscriminantAnalysis,0.9500032492006966,0.9502467213994261,0.04999675079930337
LinearSVC,0.9578253749577603,0.9578293930739277,0.04217462504223961
LogisticRegression,0.9611320865067194,0.9606439123481764,0.038867913493280656
NearestCentroid,0.8371887265732629,0.8438717789739009,0.162811273426737
PassiveAggressiveClassifier,0.946697252475891,0.9481056913971366,0.05330274752410907
Perceptron,0.932343908398534,0.9342183835000961,0.06765609160146605
QuadraticDiscriminantAnalysis,0.8544015116725729,0.8550564500447263,0.145598488327427
RandomForestClassifier,0.8592037508772842,0.8588384796469472,0.1407962491227158
RidgeClassifier,0.9391175820748096,0.9375091504995197,0.060882417925190405
RidgeClassifierCV,0.9391982272360998,0.9375852308941557,0.06080177276390007
SGDClassifier,0.9395203529931637,0.9396744344450502,0.060479647006836314
SVC,0.94790666995919,0.947574179916789,0.05209333004080996
XGBClassifier,0.893071534402537,0.8928142930975967,0.10692846559746302
