Model,Accuracy,F1 Score,hamming_loss_score
AdaBoostClassifier,0.10313872787294324,0.08303846853112387,0.8968612721270567
BaggingClassifier,0.7713881235216137,0.7709905481279196,0.2286118764783863
BernoulliNB,0.75945452418705,0.7583209423938758,0.24054547581295002
CalibratedClassifierCV,0.8025961113566062,0.7998683569508639,0.1974038886433937
DecisionTreeClassifier,0.7400201450443191,0.7417464750011498,0.2599798549556809
DummyClassifier,0.020804437108471317,0.0008596723754101066,0.9791955628915288
ExtraTreeClassifier,0.6469634269969587,0.6491081905123274,0.35303657300304125
ExtraTreesClassifier,0.7975961113566064,0.7966765202458282,0.20240388864339373
GaussianNB,0.6489779964128825,0.6229295098382018,0.35102200358711755
KNeighborsClassifier,0.623093693951288,0.6283146687172865,0.376906306048712
LGBMClassifier,0.07983468066855554,0.06846708433493928,0.9201653193314444
LabelPropagation,0.39053052948974554,0.45374348499699096,0.6094694705102545
LabelSpreading,0.39061117465103584,0.4537019170055455,0.6093888253489641
LinearDiscriminantAnalysis,0.7821936653583219,0.7818486482049773,0.21780633464167815
LinearSVC,0.8000161810194693,0.7945041653030973,0.1999838189805308
LogisticRegression,0.7980000519872111,0.7954397166566778,0.20199994801278884
NearestCentroid,0.7409070468664709,0.7479588751159276,0.25909295313352915
PassiveAggressiveClassifier,0.7474396948350706,0.7445776085435863,0.2525603051649294
Perceptron,0.737601180109693,0.7341056104664988,0.262398819890307
QuadraticDiscriminantAnalysis,0.5985105664006655,0.5859558386451306,0.4014894335993346
RandomForestClassifier,0.7929995321150997,0.7910917023354422,0.2070004678849003
RidgeClassifier,0.7659858074913571,0.7539818659852036,0.2340141925086429
RidgeClassifierCV,0.7659858074913571,0.7539851006199579,0.2340141925086429
SGDClassifier,0.7495354942684099,0.7639465129718811,0.25046450573159
SVC,0.8009023030334538,0.7999739968933184,0.19909769696654625
XGBClassifier,0.7949339762418445,0.7953689884214491,0.2050660237581555
