Model,Accuracy,F1 Score,hamming_loss_score
AdaBoostClassifier,0.05943125991006213,0.018712926271547702,0.9405687400899378
BaggingClassifier,0.773646902861896,0.7738102253400427,0.22635309713810403
BernoulliNB,0.8773476124873282,0.8793427469270068,0.12265238751267189
CalibratedClassifierCV,0.9713729172623534,0.9707022277141653,0.028627082737646536
DecisionTreeClassifier,0.5641459151048842,0.5656593276708983,0.4358540848951158
DummyClassifier,0.020804437108471317,0.0008596723754101066,0.9791955628915288
ExtraTreeClassifier,0.43448142756881813,0.4359109872550248,0.5655185724311819
ExtraTreesClassifier,0.9054898494970237,0.9045514844479057,0.09451015050297626
GaussianNB,0.9108930103194615,0.9116138326881664,0.08910698968053858
KNeighborsClassifier,0.7981598476774714,0.8086019936811484,0.20184015232252867
LGBMClassifier,0.19941787320319201,0.1901502636812201,0.8005821267968081
LabelPropagation,0.05241487094174833,0.04555113911144458,0.9475851290582517
LabelSpreading,0.05241487094174833,0.04555113911144458,0.9475851290582517
LinearDiscriminantAnalysis,0.9596798887473682,0.9601651103919812,0.04032011125263185
LinearSVC,0.9667764679888748,0.9665842089752135,0.03322353201112527
LogisticRegression,0.9711305918743989,0.9707212810969885,0.028869408125601105
NearestCentroid,0.8982324348210341,0.9037083550265411,0.10176756517896597
PassiveAggressiveClassifier,0.9623410491019209,0.962502208860391,0.03765895089807907
Perceptron,0.9544384731356086,0.9557343731966439,0.04556152686439136
QuadraticDiscriminantAnalysis,0.8806550533013323,0.8802741031502612,0.11934494669866767
RandomForestClassifier,0.9103285591744431,0.9096007108744881,0.08967144082555692
RidgeClassifier,0.9545199630890802,0.953094070975504,0.04548003691091991
RidgeClassifierCV,0.9545199630890802,0.953094070975504,0.04548003691091991
SGDClassifier,0.9576640846351797,0.9576798616209604,0.04233591536482025
SVC,0.9669372384393439,0.9664301268080591,0.03306276156065608
XGBClassifier,0.9208926853993917,0.9204310483698116,0.07910731460060824
