Fold,Model,Base_Model,Method,F1 Score,hamming_loss_score,Best_Model
1,LP_GaussianNB,GaussianNB,Label Powerset,0.7475137475137476,0.13376309427880742,LP_GaussianNB
1,LP_LinearSVC,LinearSVC,Label Powerset,0.7264341308734505,0.11764705882352941,LP_GaussianNB
1,LP_RandomForestClassifier,RandomForestClassifier,Label Powerset,0.6759519928878353,0.13556065207958842,LP_GaussianNB
1,BR_KNeighborsClassifier,KNeighborsClassifier,Binary Relevance,0.6673095467695275,0.1496931754788322,LP_GaussianNB
1,CC_KNeighborsClassifier,KNeighborsClassifier,Classifier Chains,0.6467277486910995,0.16729684497613587,LP_GaussianNB
1,LP_KNeighborsClassifier,KNeighborsClassifier,Label Powerset,0.6419682855720685,0.1560466125333168,LP_GaussianNB
1,CC_RandomForestClassifier,RandomForestClassifier,Classifier Chains,0.6136791185165278,0.17820616128432407,LP_GaussianNB
1,BR_RandomForestClassifier,RandomForestClassifier,Binary Relevance,0.5652951699463328,0.16568524143060806,LP_GaussianNB
1,LP_DecisionTreeClassifier,DecisionTreeClassifier,Label Powerset,0.5026898536219192,0.24638938821050022,LP_GaussianNB
1,BR_DecisionTreeClassifier,DecisionTreeClassifier,Binary Relevance,0.4903977202329327,0.25494328395214777,LP_GaussianNB
1,BR_GaussianNB,GaussianNB,Binary Relevance,0.4857849942657089,0.2640240500836794,LP_GaussianNB
1,CC_LinearSVC,LinearSVC,Classifier Chains,0.4787863527634395,0.25661687224942664,LP_GaussianNB
1,BR_LinearSVC,LinearSVC,Binary Relevance,0.46683527780044054,0.20253517634661874,LP_GaussianNB
1,CC_DecisionTreeClassifier,DecisionTreeClassifier,Classifier Chains,0.4636397654983161,0.26653443252959774,LP_GaussianNB
1,CC_LogisticRegression,LogisticRegression,Classifier Chains,0.4610007572668492,0.28677245397632184,LP_GaussianNB
1,CC_GaussianNB,GaussianNB,Classifier Chains,0.4122844724650141,0.38136118514845346,LP_GaussianNB
1,BR_LogisticRegression,LogisticRegression,Binary Relevance,0.3740171551107934,0.21713258538399555,LP_GaussianNB
1,LP_LogisticRegression,LogisticRegression,Label Powerset,0.058919447766061527,0.2683009979545032,LP_GaussianNB
2,LP_GaussianNB,GaussianNB,Label Powerset,0.7538351765965038,0.12841191066997518,LP_GaussianNB
2,LP_LinearSVC,LinearSVC,Label Powerset,0.7118894554053056,0.12093672456575683,LP_GaussianNB
2,BR_KNeighborsClassifier,KNeighborsClassifier,Binary Relevance,0.701584926195497,0.13607320099255582,LP_GaussianNB
2,LP_RandomForestClassifier,RandomForestClassifier,Label Powerset,0.7005818290317768,0.12450372208436725,LP_GaussianNB
2,CC_KNeighborsClassifier,KNeighborsClassifier,Classifier Chains,0.6819888644309207,0.1523573200992556,LP_GaussianNB
2,LP_KNeighborsClassifier,KNeighborsClassifier,Label Powerset,0.6668046643207065,0.14978287841191068,LP_GaussianNB
2,CC_RandomForestClassifier,RandomForestClassifier,Classifier Chains,0.6273643517879331,0.1674317617866005,LP_GaussianNB
2,BR_RandomForestClassifier,RandomForestClassifier,Binary Relevance,0.5953155497722836,0.1543424317617866,LP_GaussianNB
2,BR_DecisionTreeClassifier,DecisionTreeClassifier,Binary Relevance,0.5144598544685615,0.24215260545905706,LP_GaussianNB
2,LP_DecisionTreeClassifier,DecisionTreeClassifier,Label Powerset,0.497749033035318,0.24568858560794044,LP_GaussianNB
2,BR_GaussianNB,GaussianNB,Binary Relevance,0.49720138144575443,0.2619106699751861,LP_GaussianNB
2,BR_LinearSVC,LinearSVC,Binary Relevance,0.4774352651048089,0.1971774193548387,LP_GaussianNB
2,CC_LinearSVC,LinearSVC,Classifier Chains,0.47427206404545164,0.2525744416873449,LP_GaussianNB
2,CC_DecisionTreeClassifier,DecisionTreeClassifier,Classifier Chains,0.4700774023031905,0.261197270471464,LP_GaussianNB
2,CC_LogisticRegression,LogisticRegression,Classifier Chains,0.44107684079158493,0.2917183622828784,LP_GaussianNB
2,CC_GaussianNB,GaussianNB,Classifier Chains,0.39873447608254237,0.39494416873449134,LP_GaussianNB
2,BR_LogisticRegression,LogisticRegression,Binary Relevance,0.3816477375157743,0.21277915632754343,LP_GaussianNB
2,LP_LogisticRegression,LogisticRegression,Label Powerset,0.06412781790326111,0.2652605459057072,LP_GaussianNB
3,LP_GaussianNB,GaussianNB,Label Powerset,0.7643564356435644,0.12549627791563275,LP_GaussianNB
3,LP_LinearSVC,LinearSVC,Label Powerset,0.7208500457392161,0.12304590570719603,LP_GaussianNB
3,LP_RandomForestClassifier,RandomForestClassifier,Label Powerset,0.7028938442664358,0.1276985111662531,LP_GaussianNB
3,BR_KNeighborsClassifier,KNeighborsClassifier,Binary Relevance,0.6950636942675159,0.1425558312655087,LP_GaussianNB
3,LP_KNeighborsClassifier,KNeighborsClassifier,Label Powerset,0.6821447578499201,0.14820099255583127,LP_GaussianNB
3,CC_KNeighborsClassifier,KNeighborsClassifier,Classifier Chains,0.6820316903613703,0.15747518610421837,LP_GaussianNB
3,CC_RandomForestClassifier,RandomForestClassifier,Classifier Chains,0.6233801295896328,0.17307692307692307,LP_GaussianNB
3,BR_RandomForestClassifier,RandomForestClassifier,Binary Relevance,0.5830023828435266,0.16284119106699751,LP_GaussianNB
3,BR_DecisionTreeClassifier,DecisionTreeClassifier,Binary Relevance,0.504225352112676,0.2511166253101737,LP_GaussianNB
3,BR_GaussianNB,GaussianNB,Binary Relevance,0.4870765962469019,0.2696029776674938,LP_GaussianNB
3,CC_LinearSVC,LinearSVC,Classifier Chains,0.48403551860948424,0.25412531017369727,LP_GaussianNB
3,LP_DecisionTreeClassifier,DecisionTreeClassifier,Label Powerset,0.47961600797905496,0.25893300248138956,LP_GaussianNB
3,CC_DecisionTreeClassifier,DecisionTreeClassifier,Classifier Chains,0.4733567424382431,0.26516749379652604,LP_GaussianNB
3,CC_LogisticRegression,LogisticRegression,Classifier Chains,0.4662934452997434,0.2838709677419355,LP_GaussianNB
3,BR_LinearSVC,LinearSVC,Binary Relevance,0.4543030303030303,0.20946029776674938,LP_GaussianNB
3,CC_GaussianNB,GaussianNB,Classifier Chains,0.40961547670353876,0.3824131513647643,LP_GaussianNB
3,BR_LogisticRegression,LogisticRegression,Binary Relevance,0.3641964442879775,0.2240694789081886,LP_GaussianNB
3,LP_LogisticRegression,LogisticRegression,Label Powerset,0.05446485117162761,0.27785359801488835,LP_GaussianNB
4,LP_GaussianNB,GaussianNB,Label Powerset,0.7469657750934714,0.1364454094292804,LP_GaussianNB
4,LP_LinearSVC,LinearSVC,Label Powerset,0.7230124372981516,0.12503101736972705,LP_GaussianNB
