Fold,Model,Base_Model,Method,F1 Score,hamming_loss_score,Best_Model
1,LP_LinearSVC,LinearSVC,Label Powerset,0.8334216803604558,0.07791483295109403,LP_LinearSVC
1,LP_GaussianNB,GaussianNB,Label Powerset,0.6873567490553181,0.15641852104382323,LP_LinearSVC
1,BR_KNeighborsClassifier,KNeighborsClassifier,Binary Relevance,0.5814873967085619,0.18679104940184715,LP_LinearSVC
1,CC_KNeighborsClassifier,KNeighborsClassifier,Classifier Chains,0.5589675711449371,0.2065331928345627,LP_LinearSVC
1,CC_RandomForestClassifier,RandomForestClassifier,Classifier Chains,0.5391990208744135,0.2100353313084981,LP_LinearSVC
1,LP_KNeighborsClassifier,KNeighborsClassifier,Label Powerset,0.5384278839142482,0.19618173929213414,LP_LinearSVC
1,LP_RandomForestClassifier,RandomForestClassifier,Label Powerset,0.5004127455836223,0.18756585879873552,LP_LinearSVC
1,BR_RandomForestClassifier,RandomForestClassifier,Binary Relevance,0.4864454015708133,0.18846463769912603,LP_LinearSVC
1,CC_LinearSVC,LinearSVC,Classifier Chains,0.4853868932663834,0.24775305274902373,LP_LinearSVC
1,BR_GaussianNB,GaussianNB,Binary Relevance,0.47729874093857305,0.2547573296968946,LP_LinearSVC
1,BR_LinearSVC,LinearSVC,Binary Relevance,0.4761073186220035,0.20454968077852848,LP_LinearSVC
1,CC_LogisticRegression,LogisticRegression,Classifier Chains,0.46088583905177793,0.26783611231637017,LP_LinearSVC
1,BR_DecisionTreeClassifier,DecisionTreeClassifier,Binary Relevance,0.44153609831029184,0.28168970433273416,LP_LinearSVC
1,LP_DecisionTreeClassifier,DecisionTreeClassifier,Label Powerset,0.42879382277850425,0.28429306390627906,LP_LinearSVC
1,BR_LogisticRegression,LogisticRegression,Binary Relevance,0.4268230494645589,0.20901258290460548,LP_LinearSVC
1,CC_DecisionTreeClassifier,DecisionTreeClassifier,Classifier Chains,0.42477544910179643,0.28581169032418025,LP_LinearSVC
1,CC_GaussianNB,GaussianNB,Classifier Chains,0.3939991344905515,0.3905969131593628,LP_LinearSVC
1,LP_LogisticRegression,LogisticRegression,Label Powerset,0.154780281980035,0.2545403830657658,LP_LinearSVC
